===== DAY 01 (10 words) =====
 1. nature             | 자연, 자연의
 2. hill               | 언덕
 3. cave               | 동굴
 4. lake               | 호수
 5. forest             | 숲
 6. field              | 들판, 분야
 7. stone              | 돌, 돌로 만든
 8. rock               | 바위, 록 음악, 흔들다
 9. wood               | 나무, 목재, 숲
10. sand               | 모래, 모래로 닦다

===== DAY 02 (10 words) =====
 1. space              | 우주, 공간
 2. star               | 별
 3. Sun                | 태양
 4. Earth              | 지구
 5. Moon               | 달
 6. land               | 육지, 땅, 착륙하다
 7. ocean              | 바다
 8. sky                | 하늘
 9. mountain           | 산
10. river              | 강

===== DAY 03 (9 words) =====
 1. season             | 계절, 양념하다
 2. spring             | 봄, 샘, 용수철, 뛰어오르다
 3. summer             | 여름
 4. fall               | 가을, 떨어지다, 폭포
 5. winter             | 겨울
 6. leaf               | 나뭇잎
 7. branch             | 나뭇가지, 지점, 지부
 8. grass              | 풀, 잔디
 9. plant              | 식물, 심다

===== DAY 04 (10 words) =====
 1. yacht              | 요트
 2. dolphin            | 돌고래
 3. island             | 섬
 4. tent               | 텐트
 5. beach              | 해변
 6. wave               | 파도
 7. sea                | 바다
 8. sandcastle         | 모래성
 9. turtle             | 거북이
10. boat               | 보트

===== DAY 05 (10 words) =====
 1. subject            | 과목, 주제, 신하
 2. textbook           | 교과서
 3. Korean             | 한국어, 한국의
 4. English            | 영어, 영국의
 5. social studies     | 사회
 6. history            | 역사
 7. math               | 수학
 8. science            | 과학
 9. art                | 미술, 예술
10. music              | 음악

===== DAY 06 (9 words) =====
 1. grade              | 학년, 성적, 채점하다
 2. class              | 수업, 반
 3. vacation           | 방학
 4. homework           | 숙제
 5. quiz               | 퀴즈
 6. test               | 시험, 시험하다
 7. score              | 점수, 득점하다
 8. practice           | 연습, 연습하다
 9. exercise           | 운동, 연습 문제, 운동하다

===== DAY 07 (9 words) =====
 1. elementary school  | 초등학교
 2. middle school      | 중학교
 3. high school        | 고등학교
 4. college            | 대학(교)
 5. university         | 대학교
 6. school uniform     | 교복
 7. gym                | 체육관
 8. pool               | 수영장
 9. locker             | 사물함

===== DAY 08 (10 words) =====
 1. team               | 팀
 2. player             | 선수
 3. coach              | 코치, 코치하다
 4. cheer              | 응원하다, 응원
 5. throw              | 던지다, 던지기
 6. kick               | 차다, 발차기
 7. pass               | 패스하다, 패스
 8. hit                | 치다, 타격
 9. catch              | 잡다, 잡기
10. jump rope          | 줄넘기하다, 줄넘기

===== DAY 09 (10 words) =====
 1. plan               | 계획, 계획하다
 2. chance             | 기회, 가능성
 3. dream              | 꿈, 꿈을 꾸다
 4. job                | 직업, 일, 과제
 5. work               | 일하다, 일, 작업
 6. become             | ~이 되다
 7. doctor             | 의사
 8. nurse              | 간호사
 9. firefighter        | 소방관
10. police officer     | 경찰관

===== DAY 10 (12 words) =====
 1. singer             | 가수
 2. dancer             | 댄서, 무용수
 3. actor              | 배우
 4. artist             | 예술가, 화가
 5. musician           | 음악가
 6. pianist            | 피아니스트
 7. designer           | 디자이너
 8. model              | 모델
 9. astronaut          | 우주비행사
10. cook               | 요리사
11. baker              | 제빵사
12. soccer player      | 축구 선수

===== DAY 11 (9 words) =====
 1. vet                | 수의사, 심사하다
 2. dentist            | 치과 의사
 3. soldier            | 군인
 4. pilot              | 조종사
 5. flight attendant   | 승무원
 6. photographer       | 사진작가
 7. scientist          | 과학자
 8. engineer           | 엔지니어
 9. lawyer             | 변호사

===== DAY 12 (11 words) =====
 1. call               | 전화하다, 부르다, 전화
 2. speak              | 말하다, 연설하다
 3. wait               | 기다리다, 기다림
 4. meet               | 만나다, 충족시키다
 5. search             | 찾다, 검색
 6. give               | 주다, 기부하다
 7. collect            | 모으다, 수집하다
